No,ID,Name,Birth,Sex,IDSocial
1,22120000,Do Minh Huy,13/06/2003,Nu,57333972
2,22120001,Du Quoc Huy,24/06/2003,Nam,82125498
3,22120002,Du Thanh Huy,18/08/2003,Nam,57797309
4,22120003,Le Hoang Huy,22/07/2003,Nam,13358223
5,22120004,Pham Duc Huy,28/11/2003,Nam,50521292
6,22120005,Truong Ngoc Huy,09/12/2003,Nu,30573277
7,22120006,Le Nguyen Khang,05/08/2003,Nam,91434200
8,22120007,Nguyen Dang Nam Khanh,11/02/2003,Nu,81642311
9,22120008,Pham Le Quoc Khanh,11/10/2003,Nam,72774253
10,22120009,Pham Nguyen Khanh Minh,08/05/2003,Nam,99341812
11,22120010,Nguyen Anh Khoa,08/06/2003,Nu,71374642
12,22120011,Nguyen Viet Khoa,11/04/2003,Nam,11277894
13,22120012,Pham Nhat Anh Khoa,07/02/2003,Nu,37475571
14,22120013,Bui Anh Kiet,11/12/2003,Nam,19029000
15,22120014,Tran Minh Tuan Kiet,05/09/2003,Nu,56309333
16,22120015,Nguyen Thi Cam Lai,14/02/2003,Nam,82571101
17,22120016,Dinh Thi Hoang Linh,01/11/2003,Nu,59504028
18,22120017,Nguyen Van Loc,25/05/2003,Nam,12664534
19,22120018,Nguyen Tuan Minh,03/05/2003,Nam,63228908
20,22120019,Pham Le Hoai Minh,20/10/2003,Nu,44349064
21,22120020,Tran Nguyen Khai Minh,13/03/2003,Nam,89757631
22,22120021,Huynh Tuan Nam,08/05/2003,Nu,22248830
23,22120022,Le Thanh Nam,08/11/2003,Nam,41448706
24,22120023,Mai Nhat Nam,27/03/2003,Nu,65064474
25,22120024,Nguyen Dang Nam,20/03/2003,Nam,15323095
26,22120025,Tran Hoang Phuong Nam,03/10/2003,Nam,11910055
27,22120026,Phan Thi Kim Ngan,18/02/2003,Nu,89042339
28,22120027,Le Chi Nghia,26/01/2003,Nam,48228781
29,22120028,Duong Yen Ngoc,09/01/2003,Nu,28624011
30,22120029,Nguyen Thi Chau Ngoc,25/03/2003,Nam,10382655
31,22120030,Dao Khoa Nguyen,04/02/2003,Nam,76610213
32,22120031,Le Vi Nguyen,19/03/2003,Nu,98655511
33,22120032,Pham Sy Nguyen,25/05/2003,Nam,75144863
34,22120033,Nguyen Thanh Nhan,08/10/2003,Nu,28512690
35,22120034,Nguyen Doan Van Nhi,14/11/2003,Nam,32527726
36,22120035,Pham Thi Quynh Nhu,22/01/2003,Nam,48759345
37,22120036,Le Minh Nhut,10/01/2003,Nu,50852535
38,22120037,Bien Viet Pham,10/08/2003,Nam,34540752
39,22120038,Tran Quang Phat,19/01/2003,Nu,52775763
40,22120039,Tran Hoang Anh Phi,22/10/2003,Nam,26270799
41,22120040,Nguyen Sy Phong,04/02/2003,Nam,22540523
42,22120041,Nguyen Huu Phuc,22/07/2003,Nam,57402227
43,22120042,Hong Nhat Phuong,09/11/2003,Nam,86339232
44,22120043,Nguyen Duong Tuan Phuong,28/11/2003,Nu,85026489
45,22120044,Lam Nhat Quan,25/01/2003,Nam,16328980
46,22120045,Quach Bao Quan,20/01/2003,Nam,90407596
47,22120046,Hoang Dinh Ngoc Quang,12/05/2003,Nu,13084203
48,22120047,Tran Thong Quang,08/10/2003,Nam,94707718
49,22120048,Van Duy Quang,27/02/2003,Nu,73902169
50,22120049,Tran Nguyen Quy,04/07/2003,Nam,53595444
