No,ID,Name,Birth,Sex,IDSocial
1,22120200,Nguyen Hoang Anh,17/11/2003,Nam,11952231
2,22120201,Nguyen Phuong Anh,13/03/2003,Nu,84585817
3,22120202,Nguyen The Anh,21/07/2003,Nam,11923989
4,22120203,Nguyen Thi Tuyet Anh,06/07/2003,Nam,31569303
5,22120204,Tran Duc Anh,26/07/2003,Nam,12529109
6,22120205,Pham Hong Anh,11/04/2003,Nam,25043005
7,22120206,Ly Bang,21/03/2003,Nu,70857563
8,22120207,Pham Mai Thien Bao,11/06/2003,Nam,58644467
9,22120208,Le Thua Phuong Cat,11/08/2003,Nu,89133791
10,22120209,Dinh Hoang Bao Chau,24/05/2003,Nam,12635418
11,22120210,Lam Quoc Chung,12/04/2003,Nam,59085489
12,22120211,Nguyen Van Chung,16/11/2003,Nu,57647841
13,22120212,Phan Tan Hoan Cuong,24/04/2003,Nam,96688033
14,22120213,Hoang Manh Cuong,01/06/2003,Nam,20324701
15,22120214,Khuc Khanh Dang,18/04/2003,Nu,68694571
16,22120215,Pham Vo Hai Dang,09/09/2003,Nam,88677467
17,22120216,Tran Hai Dang,24/12/2003,Nam,33189196
18,22120217,Bui Tien Dat,18/08/2003,Nu,79329428
19,22120218,Huynh Tien Dat,08/06/2003,Nam,69635533
20,22120219,Nguyen Tien Dat,01/04/2003,Nam,21538948
21,22120220,Phan Duong Quoc Dat,22/08/2003,Nu,91524516
22,22120221,Vo Van Minh Doan,16/07/2003,Nam,79036051
23,22120222,Cao Tan Duc,07/03/2003,Nam,79874625
24,22120223,Bui Hong Duong,11/11/2003,Nam,94077729
25,22120224,Nguyen Linh Dang Duong,17/01/2003,Nu,48126604
26,22120225,Bui Khanh Duy,10/11/2003,Nam,76895081
27,22120226,Ngo Thanh Duy,12/08/2003,Nam,80472374
28,22120227,Tran Dai Quang Duy,25/01/2003,Nu,41395367
29,22120228,Vu Le Duy,22/04/2003,Nam,59420730
30,22120229,Truong Cao Hoang Gia,08/08/2003,Nam,70747629
31,22120230,Ngo Thanh Hai,14/01/2003,Nam,59284027
32,22120231,Huynh Phuc Hau,10/07/2003,Nu,38158720
33,22120232,Le Duc Hau,03/05/2003,Nam,94857239
34,22120233,Nguyen Trung Hieu,03/05/2003,Nam,58294069
35,22120234,Vo Minh Hieu,20/03/2003,Nu,95941649
36,22120235,Tran Khanh Hoang,16/11/2003,Nam,44935821
37,22120236,Ngo Phuc Hoi,02/06/2003,Nam,15274164
38,22120237,Pham Quoc Hung,11/09/2003,Nu,42106821
39,22120238,Vo Phi Hung,10/06/2003,Nam,17609985
40,22120239,Le Cong Huu,20/10/2003,Nam,44643082
41,22120240,Ngo Vo Quang Huy,20/06/2003,Nu,15243093
42,22120241,Nguyen Quang Huy,26/08/2003,Nam,58540810
43,22120242,Pham Bao Huy,06/11/2003,Nu,88353859
44,22120243,Cao Chanh Khai,21/05/2003,Nam,88264905
45,22120244,Tran Dinh Khai,12/07/2003,Nam,18406928
46,22120245,Nguyen Nhat Khang,14/09/2003,Nam,57785075
47,22120246,Pham Phuc An Khang,24/03/2003,Nam,95369813
48,22120247,Vo Thi Kieu Khanh,08/08/2003,Nam,37503183
49,22120248,Luong Huu Khanh,06/01/2003,Nam,47515270
50,22120249,Pham Gia Khiem,16/12/2003,Nu,79162385
